transcript_id,DMSO.1,DMSO.2,DMSO.3,JG1.1,JG1.2,JG1.3,M4.1,M4.2,M4.3
STM14_RS00005,1310,884,1088,606,646,1146,853,532,633
STM14_RS00010,624,447,504,353,327,564,427,237,346
STM14_RS00015,1032,872,978,706,639,985,844,413,791
STM14_RS00020,10558,5657,4604,4010,4437,5749,5820,2157,3665
STM14_RS00030,4311,3513,2918,2241,1867,3090,3484,1190,2613
STM14_RS00035,16563,10766,17751,9302,5854,15319,14750,4305,17994
STM14_RS00040,1891,1344,1198,782,681,899,1278,747,1105
STM14_RS00045,328,232,300,203,145,300,194,112,389
STM14_RS00050,665,424,540,367,302,567,537,371,1117
STM14_RS00055,640,481,464,243,162,444,561,246,1158
STM14_RS00060,157,142,109,37,40,54,369,117,988
STM14_RS00065,292,236,135,68,95,106,463,144,1075
STM14_RS00070,8016,5437,4453,2169,2819,3668,7447,2731,9262
STM14_RS00075,857,796,624,346,428,584,722,343,773
STM14_RS00080,221,162,159,87,104,184,164,138,146
STM14_RS00085,622,372,603,377,386,509,495,345,517
STM14_RS00090,202,177,236,50,44,76,93,115,88
STM14_RS00095,62,16,23,4,12,15,99,18,67
STM14_RS00100,313,199,175,86,121,104,283,107,219
STM14_RS00110,28216,14668,14671,9910,8527,13732,24235,15757,31771
STM14_RS00120,17010,13849,8464,2318,3838,2218,11166,9710,7524
STM14_RS00125,1076,821,884,521,581,902,959,858,837
STM14_RS00130,1425,1067,1575,745,867,1767,1244,1468,1430
STM14_RS00135,954,493,1260,685,711,1441,849,1082,1287
STM14_RS00140,1416,825,1791,962,882,1858,1171,1439,2072
STM14_RS00145,2110,1156,2478,1522,1528,2932,1933,2532,3261
STM14_RS00150,821,352,568,429,575,858,558,820,1247
STM14_RS00155,469,120,342,271,340,469,265,357,783
STM14_RS00160,172,24,91,101,137,151,46,78,368
STM14_RS00170,1137,547,809,539,575,734,951,852,1615
STM14_RS00175,4334,2256,1876,1410,1716,2083,3386,2688,3149
STM14_RS00185,286,195,107,175,137,150,562,399,609
STM14_RS00190,1387,799,409,1644,1914,737,2551,2940,2486
STM14_RS00195,9149,3299,2222,9035,11460,4799,14842,12685,11288
STM14_RS00200,7697,3760,2283,8530,13888,5139,12098,11890,9317
STM14_RS00205,74,54,30,29,33,27,69,24,79
STM14_RS00210,260,148,67,102,141,120,284,112,180
STM14_RS00215,1034,548,690,560,465,631,1406,342,1274
STM14_RS00220,4073,2442,2767,3773,4928,3927,5459,5887,4461
STM14_RS00225,10924,6965,8712,10570,12693,10921,15685,17814,11963
STM14_RS00230,10550,7116,6752,6988,8863,9702,10055,8589,7926
STM14_RS00235,31111,23419,18332,16969,37480,48894,18988,15874,16697
STM14_RS00240,1436,661,755,413,313,794,1084,551,661
STM14_RS00245,606,473,1078,400,255,801,363,594,939
STM14_RS00250,333,278,631,228,210,508,290,235,615
STM14_RS00255,332,294,336,136,129,349,270,140,302
STM14_RS00260,2163,1291,2435,1080,747,2371,1682,1090,2023
STM14_RS00265,17640,14835,14035,11900,13956,16112,11600,10855,8788
STM14_RS00270,4027,7336,8697,5148,5280,7487,3428,4665,3118
